t0, t, x, y, z, qx, qy, qz, qw
171.633,0.55,0.043243,-0.152263,1.64129,-0.395322,0.116611,0.0927326,-0.906379
171.642,0.559,0.043243,-0.152263,1.64129,-0.395322,0.116611,0.0927326,-0.906379
171.65,0.567,0.0221369,-0.205532,1.65662,-0.28904,0.108516,0.148554,-0.939474
171.658,0.575,0.0225629,-0.206363,1.65428,-0.292082,0.121105,0.141154,-0.938135
171.667,0.584,0.0231106,-0.206878,1.65381,-0.268876,0.104118,0.139243,-0.947352
171.675,0.592,0.0230692,-0.207082,1.65356,-0.271657,0.106023,0.141091,-0.946074
171.683,0.6,0.0227816,-0.207337,1.65344,-0.25862,0.099843,0.139217,-0.950666
171.692,0.609,0.0225456,-0.207711,1.65319,-0.249491,0.0978818,0.138157,-0.95346
171.7,0.617,0.0223444,-0.208172,1.65375,-0.260407,0.0947489,0.139974,-0.950588
171.708,0.625,0.0223125,-0.208293,1.6537,-0.258251,0.0940218,0.140455,-0.951178
171.717,0.634,0.0222992,-0.208403,1.65365,-0.255734,0.0941565,0.14027,-0.951871
171.725,0.642,0.0222751,-0.208461,1.6536,-0.25593,0.0937427,0.140681,-0.951799
171.733,0.65,0.0222374,-0.208489,1.65367,-0.256484,0.0926847,0.141171,-0.951681
171.742,0.659,0.0222004,-0.208512,1.65368,-0.256713,0.0918855,0.141542,-0.951642
171.75,0.667,0.0221664,-0.208561,1.65371,-0.257469,0.0913651,0.141774,-0.951453
171.758,0.675,0.0221505,-0.208621,1.6537,-0.256577,0.0916163,0.141631,-0.951691
171.767,0.684,0.0221512,-0.208723,1.65369,-0.255336,0.0923232,0.141284,-0.952008
171.775,0.692,0.022128,-0.208887,1.65385,-0.246121,0.0901432,0.139393,-0.954918
171.783,0.7,0.0221099,-0.20894,1.65385,-0.246245,0.090546,0.139231,-0.954872
171.792,0.709,0.022084,-0.20899,1.65384,-0.24575,0.0900482,0.139152,-0.955058
171.8,0.717,0.0220789,-0.209046,1.65378,-0.244164,0.0905989,0.138664,-0.955483
171.808,0.725,0.0220822,-0.209092,1.65373,-0.243458,0.0908213,0.138561,-0.955657
171.817,0.734,0.0220776,-0.20914,1.65373,-0.241636,0.0910154,0.13803,-0.956178
