t0, t, x, y, z, qx, qy, qz, qw
1129.21,0.51,-0.193144,0.365566,1.51283,0.294123,0.114301,0.943606,0.100171
1129.22,0.52,-0.192532,0.365858,1.5125,0.294704,0.115958,0.944027,0.0922816
1129.22,0.52,-0.19196,0.366392,1.5121,0.294647,0.119484,0.944613,0.0813168
1129.23,0.53,-0.191457,0.367101,1.5117,0.296083,0.127445,0.944048,0.0697574
1129.24,0.54,-0.191027,0.367815,1.51107,0.297011,0.136221,0.943404,0.0567283
1129.25,0.55,-0.190677,0.368554,1.51052,0.29679,0.144411,0.942992,0.0427598
1129.26,0.56,-0.190359,0.369255,1.50971,0.29775,0.151096,0.942171,0.0287831
1129.27,0.57,-0.190075,0.369923,1.50896,0.297481,0.15724,0.941563,0.0154809
1129.28,0.58,-0.18973,0.370489,1.50819,0.298224,0.16226,0.940598,0.00314632
1129.28,0.58,-0.189372,0.370936,1.50751,0.298394,0.167738,0.939563,-0.00688486
1129.29,0.59,-0.188905,0.371177,1.50673,0.298963,0.170403,0.938796,-0.0157093
1129.3,0.6,-0.188326,0.371208,1.50611,0.300724,0.173421,0.937555,-0.0219049
1129.31,0.61,-0.187707,0.371081,1.5058,0.30177,0.175967,0.936632,-0.0262791
1129.32,0.62,-0.186996,0.370728,1.50549,0.302936,0.176862,0.935996,-0.029362
1129.33,0.63,-0.186295,0.370234,1.50539,0.304573,0.177575,0.935284,-0.030761
1129.33,0.63,-0.185613,0.369652,1.50549,0.305509,0.17751,0.934966,-0.0315095
1129.34,0.64,-0.184972,0.369116,1.50562,0.305699,0.176816,0.934998,-0.032609
1129.35,0.65,-0.184346,0.368547,1.50561,0.307376,0.179817,0.93387,-0.0327517
1129.36,0.66,-0.183754,0.368128,1.50558,0.308984,0.184666,0.932389,-0.0328207
1129.37,0.67,-0.183265,0.367931,1.50562,0.308317,0.186509,0.932163,-0.0350354
1129.38,0.68,-0.182748,0.367943,1.50596,0.306311,0.185846,0.932764,-0.0398365
1129.38,0.68,-0.182217,0.368145,1.50658,0.306099,0.183396,0.932988,-0.0469318
1129.39,0.69,-0.181659,0.368438,1.50726,0.305791,0.18173,0.932978,-0.0549385
1129.4,0.7,-0.181073,0.368773,1.50777,0.304747,0.181245,0.932888,-0.0632439
1129.41,0.71,-0.180493,0.369195,1.50838,0.303464,0.181943,0.932545,-0.0718828
1129.42,0.72,-0.179864,0.369649,1.50891,0.304934,0.18443,0.930893,-0.0802476
1129.43,0.73,-0.179126,0.370019,1.50915,0.304558,0.189504,0.929349,-0.087425
1129.43,0.73,-0.178318,0.370404,1.50954,0.303424,0.194713,0.927996,-0.0940433
1129.44,0.74,-0.177428,0.370749,1.51005,0.303932,0.200469,0.92606,-0.0992537
1129.45,0.75,-0.176405,0.370943,1.51042,0.300891,0.2033,0.925876,-0.104344
1129.46,0.76,-0.175321,0.371071,1.51116,0.299522,0.205386,0.925445,-0.10796
1129.47,0.77,-0.174109,0.371022,1.51177,0.297169,0.20658,0.925595,-0.11086
1129.47,0.77,-0.172858,0.370909,1.51243,0.295831,0.208448,0.925342,-0.113033
1129.48,0.78,-0.171597,0.37087,1.51318,0.293595,0.209472,0.925502,-0.115626
1129.49,0.79,-0.170309,0.370799,1.51351,0.290935,0.210285,0.925691,-0.119305
1129.5,0.8,-0.169111,0.370787,1.51402,0.288718,0.21261,0.925285,-0.123643
1129.51,0.81,-0.167957,0.370715,1.51427,0.287863,0.215144,0.924239,-0.128959
1129.52,0.82,-0.166869,0.37074,1.51479,0.286206,0.215585,0.923622,-0.136131
1129.53,0.83,-0.165772,0.370578,1.5149,0.285052,0.215908,0.922656,-0.144344
1129.53,0.83,-0.164766,0.37048,1.51535,0.284869,0.214473,0.921627,-0.153148
1129.54,0.84,-0.163768,0.370288,1.51578,0.283618,0.214111,0.920652,-0.16161
1129.55,0.85,-0.162731,0.370073,1.51601,0.283691,0.212566,0.91955,-0.169598
1129.56,0.86,-0.161657,0.369719,1.51605,0.281489,0.211541,0.919115,-0.176754
1129.57,0.87,-0.160659,0.369459,1.51675,0.279127,0.211817,0.918794,-0.181766
1129.58,0.88,-0.159505,0.368778,1.51663,0.277477,0.213338,0.918149,-0.18573
1129.58,0.88,-0.158414,0.368045,1.51697,0.274409,0.213701,0.918422,-0.188501
1129.59,0.89,-0.1572,0.366958,1.51692,0.271452,0.217957,0.918297,-0.18852
1129.6,0.9,-0.155911,0.365818,1.51691,0.270009,0.222156,0.918101,-0.186636
1129.61,0.91,-0.154569,0.364494,1.51662,0.266824,0.227709,0.91829,-0.183569
1129.62,0.92,-0.153209,0.363109,1.5163,0.264391,0.23444,0.91828,-0.178596
1129.63,0.93,-0.151919,0.361691,1.51623,0.259397,0.237411,0.919727,-0.174504
1129.63,0.93,-0.150676,0.360263,1.51621,0.254201,0.239168,0.921476,-0.170478
1129.64,0.94,-0.149523,0.358997,1.51645,0.247128,0.237009,0.924563,-0.167145
1129.65,0.95,-0.148565,0.357746,1.5166,0.236705,0.233389,0.928604,-0.164911
1129.66,0.96,-0.147869,0.356689,1.51671,0.227174,0.233006,0.931417,-0.162977
1129.67,0.97,-0.147394,0.355665,1.51636,0.216754,0.235015,0.933422,-0.162817
1129.68,0.98,-0.147124,0.354772,1.51584,0.204395,0.240001,0.934707,-0.16415
1129.68,0.98,-0.147065,0.353893,1.5152,0.193701,0.249787,0.934225,-0.165258
1129.69,0.99,-0.147063,0.352992,1.51422,0.183843,0.259395,0.933208,-0.167447
1129.7,1,-0.147039,0.352147,1.51299,0.174454,0.270415,0.931427,-0.169958
1129.71,1.01,-0.147,0.351381,1.51143,0.167666,0.282532,0.92856,-0.172746
1129.72,1.02,-0.146959,0.350853,1.50997,0.161865,0.293149,0.925484,-0.17704
1129.72,1.02,-0.146983,0.350528,1.50843,0.158028,0.301432,0.922156,-0.18383
1129.73,1.03,-0.147047,0.350223,1.50679,0.156739,0.30789,0.91857,-0.192002
1129.74,1.04,-0.147139,0.350118,1.50534,0.156408,0.31014,0.915607,-0.20252
1129.75,1.05,-0.147248,0.349949,1.50399,0.158105,0.311107,0.912576,-0.21312
1129.76,1.06,-0.147236,0.349695,1.50261,0.161706,0.309128,0.910037,-0.223885
1129.77,1.07,-0.147139,0.349357,1.50136,0.166395,0.307184,0.907434,-0.233481
1129.78,1.08,-0.146846,0.348912,1.49984,0.172159,0.302978,0.905353,-0.242695
1129.78,1.08,-0.146503,0.348404,1.49848,0.177971,0.298899,0.903279,-0.251144
1129.79,1.09,-0.146092,0.347792,1.49716,0.186179,0.294746,0.900632,-0.25947
1129.8,1.1,-0.145579,0.34709,1.49582,0.194655,0.290283,0.897822,-0.267882
1129.81,1.11,-0.145062,0.34636,1.49484,0.203195,0.285321,0.894777,-0.276907
1129.82,1.12,-0.144499,0.345477,1.4938,0.21324,0.279993,0.891242,-0.286042
1129.83,1.13,-0.143907,0.344469,1.49273,0.222299,0.273666,0.887805,-0.295792
1129.83,1.13,-0.14333,0.34347,1.49192,0.231081,0.270569,0.883961,-0.303325
1129.84,1.14,-0.142702,0.342407,1.49083,0.240318,0.264939,0.880692,-0.310543
1129.85,1.15,-0.142068,0.341294,1.4898,0.247603,0.261588,0.877989,-0.315277
1129.86,1.16,-0.141425,0.34015,1.48881,0.254226,0.258177,0.876054,-0.318188
1129.87,1.17,-0.140806,0.338936,1.48766,0.259342,0.256207,0.87463,-0.319567
1129.88,1.18,-0.140242,0.337777,1.48665,0.26343,0.255331,0.873286,-0.320597
1129.88,1.18,-0.139775,0.336735,1.4857,0.266767,0.25485,0.871921,-0.321933
1129.89,1.19,-0.139442,0.335713,1.48492,0.268918,0.254312,0.870528,-0.32433
1129.9,1.2,-0.139251,0.334679,1.48404,0.268334,0.255766,0.86934,-0.326847
1129.91,1.21,-0.139201,0.333683,1.48333,0.268205,0.255176,0.868234,-0.330335
1129.92,1.22,-0.139201,0.332591,1.48258,0.267291,0.256261,0.867135,-0.333112
1129.93,1.23,-0.139184,0.331425,1.48195,0.265319,0.256221,0.866785,-0.33562
1129.93,1.23,-0.13913,0.330133,1.48141,0.26306,0.255276,0.867273,-0.336855
1129.94,1.24,-0.139011,0.328845,1.48098,0.260973,0.2531,0.8683,-0.337474
1129.95,1.25,-0.13881,0.327473,1.48053,0.257539,0.25098,0.870243,-0.336689
1129.96,1.26,-0.138629,0.326151,1.48016,0.254619,0.249601,0.872091,-0.33515
1129.97,1.27,-0.138496,0.324754,1.47968,0.250715,0.249651,0.87394,-0.333235
1129.97,1.27,-0.13845,0.323307,1.479,0.244881,0.250239,0.876006,-0.331703
1129.98,1.28,-0.138522,0.321829,1.47832,0.241709,0.251523,0.877061,-0.330269
1129.99,1.29,-0.13853,0.320242,1.47755,0.235908,0.253371,0.878831,-0.328338
1130,1.3,-0.138483,0.318648,1.47684,0.232188,0.253742,0.880561,-0.326062
1130.01,1.31,-0.138288,0.316973,1.47609,0.228359,0.257668,0.882067,-0.321587
1130.02,1.32,-0.137987,0.315346,1.47533,0.224039,0.260119,0.884346,-0.31635
1130.03,1.33,-0.137625,0.313754,1.47457,0.220321,0.265066,0.88601,-0.310138
1130.03,1.33,-0.137314,0.31232,1.474,0.216766,0.268912,0.88759,-0.304767
1130.04,1.34,-0.137057,0.310581,1.47315,0.214034,0.272855,0.888598,-0.300222
1130.05,1.35,-0.136751,0.308972,1.47228,0.21271,0.277064,0.889426,-0.294808
1130.06,1.36,-0.136368,0.307576,1.47115,0.212175,0.282282,0.889605,-0.289659
1130.07,1.37,-0.136051,0.306268,1.46996,0.21484,0.287654,0.888379,-0.286152
1130.08,1.38,-0.135785,0.305043,1.4689,0.218407,0.291459,0.886505,-0.285409
1130.08,1.38,-0.135538,0.303798,1.46781,0.224377,0.293081,0.883995,-0.2869
1130.09,1.39,-0.135285,0.30259,1.46681,0.23292,0.293606,0.880664,-0.289785
1130.1,1.4,-0.135017,0.301465,1.46588,0.242784,0.292037,0.877308,-0.293428
1130.11,1.41,-0.134789,0.300289,1.46479,0.253119,0.288677,0.874086,-0.297607
1130.12,1.42,-0.13469,0.299155,1.46369,0.264689,0.286774,0.870032,-0.301238
1130.13,1.43,-0.134718,0.298092,1.46249,0.275749,0.28289,0.865996,-0.306573
1130.13,1.43,-0.134891,0.297226,1.46127,0.285503,0.282076,0.86128,-0.311639
1130.14,1.44,-0.135295,0.296524,1.45993,0.294524,0.280969,0.856139,-0.318337
1130.15,1.45,-0.13585,0.295928,1.45862,0.302287,0.279915,0.850779,-0.326261
1130.16,1.46,-0.136594,0.295317,1.45731,0.311239,0.280234,0.844292,-0.33432
1130.17,1.47,-0.137342,0.294704,1.45608,0.318096,0.279781,0.838524,-0.342659
1130.18,1.48,-0.138148,0.294109,1.45497,0.325724,0.279323,0.832515,-0.35043
1130.18,1.48,-0.138855,0.293458,1.45381,0.333031,0.279723,0.826589,-0.357207
1130.19,1.49,-0.139544,0.292886,1.45283,0.340656,0.278469,0.820967,-0.363899
1130.2,1.5,-0.140131,0.292314,1.45193,0.348372,0.277301,0.815361,-0.370037
1130.21,1.51,-0.140711,0.291801,1.45112,0.355514,0.275409,0.810144,-0.376068
1130.22,1.52,-0.141201,0.291295,1.45043,0.3629,0.271698,0.80512,-0.382448
1130.22,1.52,-0.14169,0.290933,1.45002,0.36883,0.267591,0.800805,-0.388679
1130.23,1.53,-0.142138,0.290577,1.44934,0.373605,0.264206,0.796802,-0.394616
1130.24,1.54,-0.142545,0.290247,1.44883,0.376011,0.26212,0.793735,-0.399866
1130.25,1.55,-0.142886,0.289976,1.44835,0.376785,0.260823,0.791593,-0.40421
1130.26,1.56,-0.143088,0.289648,1.44786,0.375608,0.261307,0.790324,-0.407463
1130.27,1.57,-0.143202,0.289281,1.44745,0.37189,0.263332,0.790318,-0.409575
1130.28,1.58,-0.143205,0.288888,1.44708,0.366509,0.266986,0.791295,-0.410174
1130.28,1.58,-0.143116,0.288545,1.44674,0.360125,0.271858,0.792953,-0.409425
1130.29,1.59,-0.142989,0.288207,1.44642,0.352405,0.276725,0.795346,-0.408238
1130.3,1.6,-0.142785,0.287634,1.44618,0.344677,0.284811,0.796476,-0.407072
1130.31,1.61,-0.142614,0.287249,1.4457,0.334009,0.291386,0.799841,-0.404706
1130.32,1.62,-0.142417,0.28713,1.44531,0.324473,0.299328,0.802782,-0.400827
1130.33,1.63,-0.142271,0.28713,1.44512,0.315558,0.305433,0.805656,-0.397557
1130.33,1.63,-0.142228,0.287146,1.44512,0.3068,0.309486,0.808612,-0.395272
1130.34,1.64,-0.142272,0.287216,1.44519,0.298192,0.311697,0.81169,-0.393809
1130.35,1.65,-0.142399,0.287265,1.44525,0.29063,0.314884,0.814237,-0.391664
1130.36,1.66,-0.142534,0.287266,1.44517,0.283495,0.317514,0.816465,-0.390128
1130.37,1.67,-0.142687,0.287241,1.44499,0.276059,0.321171,0.818163,-0.388909
1130.38,1.68,-0.142889,0.287249,1.44473,0.269036,0.32557,0.819046,-0.388312
1130.38,1.68,-0.143151,0.287323,1.44456,0.263108,0.330529,0.818793,-0.38872
1130.39,1.69,-0.143486,0.287435,1.4444,0.258341,0.335928,0.817426,-0.390163
1130.4,1.7,-0.143901,0.287531,1.44401,0.253872,0.340258,0.815493,-0.393376
1130.41,1.71,-0.144336,0.28766,1.44372,0.251731,0.343018,0.813085,-0.397321
1130.42,1.72,-0.144689,0.287691,1.4434,0.251528,0.343678,0.81097,-0.401182
1130.43,1.73,-0.14485,0.287592,1.44314,0.251808,0.342846,0.81043,-0.402806
1130.43,1.73,-0.144669,0.287345,1.44289,0.253646,0.340111,0.811705,-0.401401
1130.44,1.74,-0.144123,0.286981,1.44263,0.256852,0.336221,0.814802,-0.396333
1130.45,1.75,-0.143256,0.286563,1.44238,0.261479,0.328618,0.819668,-0.389594
1130.46,1.76,-0.142232,0.286178,1.44226,0.267787,0.3233,0.824103,-0.380291
1130.47,1.77,-0.141209,0.285764,1.44196,0.273542,0.31701,0.828534,-0.371768
1130.47,1.77,-0.140401,0.285445,1.44184,0.279467,0.310951,0.831631,-0.36551
1130.48,1.78,-0.139874,0.285076,1.44155,0.28392,0.307526,0.833033,-0.361764
1130.49,1.79,-0.139675,0.284632,1.44115,0.287855,0.305178,0.832674,-0.361469
1130.5,1.8,-0.139732,0.284108,1.44076,0.290599,0.305363,0.831103,-0.36273
1130.51,1.81,-0.139865,0.283524,1.44053,0.292747,0.30573,0.829386,-0.364619
1130.52,1.82,-0.139913,0.282808,1.44053,0.2941,0.305838,0.828485,-0.365487
1130.53,1.83,-0.139804,0.282,1.44056,0.295064,0.305014,0.829045,-0.364126
1130.53,1.83,-0.139489,0.281195,1.44069,0.295414,0.302853,0.831064,-0.361032
1130.54,1.84,-0.139075,0.28039,1.44096,0.29506,0.301359,0.833897,-0.356003
1130.55,1.85,-0.138635,0.279597,1.44127,0.294565,0.300528,0.836967,-0.349859
1130.56,1.86,-0.138235,0.278843,1.44162,0.293929,0.298335,0.840195,-0.344493
1130.57,1.87,-0.137933,0.27815,1.44208,0.292557,0.298298,0.842889,-0.339067
1130.58,1.88,-0.137668,0.277466,1.44248,0.29079,0.297731,0.845473,-0.334624
1130.58,1.88,-0.137474,0.276812,1.44298,0.287845,0.297639,0.848142,-0.33047
1130.59,1.89,-0.137322,0.276218,1.44358,0.284276,0.298102,0.850713,-0.326511
1130.6,1.9,-0.137233,0.275736,1.44415,0.2804,0.298839,0.853036,-0.323113
1130.61,1.91,-0.137247,0.275405,1.44478,0.275583,0.300865,0.854984,-0.320214
1130.62,1.92,-0.137402,0.275222,1.44534,0.270293,0.30355,0.85618,-0.31899
1130.63,1.93,-0.137734,0.275222,1.44596,0.264011,0.306028,0.856953,-0.319809
1130.63,1.93,-0.138199,0.275347,1.44645,0.257246,0.310454,0.856808,-0.321439
1130.64,1.94,-0.138739,0.275635,1.44695,0.251163,0.313202,0.856458,-0.324501
1130.65,1.95,-0.139338,0.276024,1.4475,0.244992,0.315161,0.856201,-0.327983
1130.66,1.96,-0.139866,0.276393,1.44779,0.240111,0.315802,0.855876,-0.331802
1130.67,1.97,-0.140321,0.276788,1.44817,0.235126,0.316471,0.855757,-0.335024
1130.68,1.98,-0.140668,0.27715,1.44849,0.231499,0.316399,0.855666,-0.33784
1130.68,1.98,-0.140924,0.277447,1.44883,0.22768,0.316434,0.855804,-0.340046
1130.69,1.99,-0.141123,0.277657,1.4492,0.224077,0.317498,0.855858,-0.341309
1130.7,2,-0.141242,0.277747,1.44951,0.220518,0.317903,0.856136,-0.342552
1130.71,2.01,-0.141295,0.277703,1.44976,0.217366,0.318733,0.856396,-0.343143
